business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Services,Textile,87096,55747,31349,11108,Both,14,33,57,122,Rural,6,5,2,3.79,0.32,952,76,89,473100,7,26,942817,8,6,Bank Loan,B2C,7,7,6,50512
Services,Construction,127171,48730,78441,16763,Offline,9,132,61,74,Rural,1,8,5,2.76,0.35,1515,71,71,257792,9,45,890549,3,6,Bank Loan,Hybrid,4,9,8,80013
Manufacturing,Construction,101535,16751,84784,29033,Both,8,108,54,183,Rural,7,14,8,7.61,0.75,586,72,93,496798,13,29,292799,6,8,Bootstrapped,Hybrid,6,7,3,87513
Services,IT,132289,36523,95766,25052,Online,12,49,70,120,Rural,7,14,3,4.57,0.51,547,83,74,291611,18,21,476400,7,6,VC,B2B,3,5,3,100857
Services,Textile,21049,31683,-10634,26839,Online,13,15,89,25,Rural,9,9,4,1.4,0.49,664,88,90,77140,3,14,345311,9,8,VC,Hybrid,8,6,2,8884
Manufacturing,Construction,132957,85418,47539,18445,Online,6,43,69,65,Rural,7,11,2,7.74,0.66,1055,89,84,481398,11,17,764319,8,4,Bootstrapped,B2C,7,9,7,45244
Manufacturing,FMCG,83745,79489,4256,12257,Online,10,129,72,18,Rural,2,9,5,5.79,0.54,763,68,80,293028,3,27,290063,1,4,Bootstrapped,Hybrid,7,3,9,8887
Manufacturing,IT,158974,65235,93739,12493,Offline,14,48,76,175,Urban,7,10,5,1.11,0.66,1008,68,95,69150,19,3,937692,8,7,Bank Loan,Hybrid,2,2,3,90781
Services,Food,79597,53553,26044,14992,Both,13,16,54,69,Urban,3,4,9,4.05,0.84,1938,84,81,432078,11,27,955208,1,9,Bank Loan,B2C,3,6,2,39792
Services,IT,140771,117496,23275,4784,Online,1,8,70,37,Urban,7,8,3,3.95,0.58,1545,77,77,465423,6,33,392522,6,2,Bank Loan,Hybrid,5,7,9,22310
Services,Healthcare,112034,42574,69460,25275,Online,2,162,86,81,Rural,6,13,1,2.31,0.38,1826,74,85,381281,8,38,439790,1,8,Bank Loan,B2C,9,8,1,83678
Manufacturing,Education,199829,32893,166936,2151,Offline,4,31,92,147,Urban,4,13,6,1.76,0.53,1784,86,93,305173,7,36,904045,5,9,Bank Loan,B2C,6,3,9,163798
Services,Healthcare,174797,143779,31018,28032,Online,10,119,84,27,Urban,2,9,3,6.13,0.81,1939,74,87,391913,9,2,543453,3,3,Bank Loan,B2C,6,9,9,31662
Manufacturing,IT,171711,54492,117219,10893,Both,6,57,80,104,Urban,7,7,4,3.41,0.31,706,64,81,410077,8,21,656889,9,6,Angel,B2C,7,8,1,131219
Trading,Education,46675,55805,-9130,3266,Offline,13,41,85,158,Urban,2,14,3,5.3,0.78,1997,72,73,482818,1,44,344609,3,2,VC,Hybrid,3,7,5,3457
Manufacturing,Construction,86746,117666,-30920,14212,Offline,2,189,90,10,Urban,8,8,9,2.97,0.75,1076,66,52,257895,19,13,272839,8,1,Bank Loan,Hybrid,1,3,4,-13766
Manufacturing,FMCG,128247,63599,64648,2544,Both,1,25,64,72,Rural,5,5,1,2.93,0.44,481,70,89,287427,4,35,690222,9,3,Bank Loan,Hybrid,1,2,8,61286
Services,Education,56812,148777,-91965,18463,Online,5,64,94,132,Urban,4,1,1,3.75,0.45,1282,68,81,493372,6,43,151780,5,3,Angel,Hybrid,4,3,9,-76844
Services,Textile,167606,143442,24164,7139,Both,10,21,74,34,Urban,4,12,1,7.84,0.39,882,64,64,316611,12,48,968881,6,7,VC,B2C,1,3,7,40368
Trading,Construction,194825,84895,109930,21712,Offline,7,164,74,133,Rural,8,7,8,1.74,0.53,1682,96,73,311354,10,42,164426,8,2,Angel,B2B,7,3,2,107975
Trading,IT,115697,117882,-2185,9061,Offline,1,174,57,145,Urban,4,1,6,6.95,0.38,1783,89,82,421288,14,47,581639,9,4,Bank Loan,B2B,8,8,2,-4670
Manufacturing,Healthcare,89705,132790,-43085,26850,Online,8,69,51,48,Rural,8,13,9,4.25,0.88,1987,71,68,100644,12,3,662084,3,9,Bootstrapped,Hybrid,1,3,1,-34672
Manufacturing,Food,136840,18674,118166,27293,Online,7,135,90,72,Rural,1,10,1,2.67,0.72,561,73,97,178440,9,3,136692,5,2,Angel,B2C,9,9,4,127138
Manufacturing,Education,88034,57615,30419,3679,Offline,12,98,68,96,Rural,2,2,5,2.38,0.71,396,91,65,426666,3,21,246506,8,2,Angel,B2C,6,8,9,43019
Manufacturing,Textile,23633,127482,-103849,26127,Offline,3,41,63,99,Urban,8,5,8,3.39,0.74,1498,90,80,232946,5,15,640008,7,8,Angel,Hybrid,9,1,7,-84806
Trading,IT,174268,139763,34505,17452,Offline,10,12,89,103,Rural,9,6,7,2.72,0.6,1655,95,98,332636,18,9,155833,1,8,Bootstrapped,B2B,3,4,8,33344
Trading,Education,61515,97023,-35508,3235,Offline,3,140,73,177,Rural,1,14,5,5.9,0.56,154,60,55,234461,7,24,979386,7,8,Bootstrapped,B2B,1,4,7,-22666
Manufacturing,Food,153137,140061,13076,3427,Both,13,91,51,162,Rural,6,11,8,5.29,0.72,1040,74,95,162975,16,46,453583,9,4,VC,Hybrid,8,6,1,21325
Services,Healthcare,132555,118803,13752,2723,Offline,3,115,51,147,Rural,8,14,6,5.62,0.75,1599,61,70,404917,8,13,661721,2,7,Angel,B2C,9,9,4,18640
Services,Food,118757,24574,94183,17814,Online,10,17,67,40,Urban,1,2,6,7.48,0.44,1284,63,82,234667,11,6,471737,9,7,VC,B2C,3,8,2,107242
Services,Textile,108715,102222,6493,16168,Online,3,158,58,183,Urban,5,11,5,2.74,0.34,1087,69,50,481522,19,3,846164,1,1,Bank Loan,Hybrid,4,8,9,26328
Services,Construction,158942,35796,123146,2327,Online,8,27,93,196,Urban,1,11,7,1.07,0.66,598,85,98,189783,7,35,916783,4,2,Bank Loan,Hybrid,1,9,5,134161
Manufacturing,FMCG,35970,37594,-1624,25098,Online,9,165,65,58,Rural,3,13,5,7.0,0.71,1152,80,55,225511,17,29,375752,9,1,Angel,B2C,6,6,8,2749
Trading,Construction,65927,78049,-12122,27444,Online,10,94,82,134,Urban,7,9,2,5.16,0.4,497,71,81,168947,19,48,727454,1,4,Bank Loan,B2B,6,3,3,-13282
Manufacturing,FMCG,86167,33217,52950,24797,Online,1,106,54,120,Urban,1,1,5,1.06,0.39,1643,90,54,334603,5,25,679941,6,6,Bank Loan,B2B,1,1,3,60857
Trading,Education,75608,32075,43533,20461,Offline,14,126,64,69,Rural,7,12,6,6.37,0.8,1030,65,63,325633,17,10,977335,4,1,Bootstrapped,B2B,4,5,1,44303
Manufacturing,FMCG,154174,88912,65262,22950,Both,12,97,88,184,Urban,1,12,9,5.78,0.83,385,91,69,77813,2,32,606543,2,7,VC,B2B,3,4,3,81331
Manufacturing,Food,127965,33878,94087,19285,Offline,11,49,55,199,Rural,1,6,1,6.84,0.31,656,69,87,73364,16,21,511679,6,8,Angel,Hybrid,1,2,2,92689
Manufacturing,Construction,105768,102017,3751,16670,Offline,4,50,63,146,Rural,1,9,5,3.23,0.39,1886,98,54,255521,1,19,730499,9,6,Angel,B2C,9,5,9,12263
Trading,Food,86224,41815,44409,27200,Both,6,6,88,194,Urban,7,14,9,7.22,0.74,794,86,91,490272,9,33,331855,6,7,Bank Loan,B2C,1,4,7,60463
Trading,Healthcare,193480,132219,61261,8378,Online,11,7,50,53,Urban,8,1,5,2.49,0.66,1209,79,66,57356,7,22,951857,6,6,Bootstrapped,B2C,5,6,9,79186
Services,Construction,130635,108535,22100,16063,Both,3,80,65,82,Rural,7,4,1,3.71,0.7,211,71,71,336399,15,37,74504,5,1,Bank Loan,B2B,4,3,8,34562
Services,Education,147257,36718,110539,10689,Offline,1,65,51,149,Urban,5,8,4,6.22,0.73,767,99,60,363262,11,17,447532,5,8,Angel,Hybrid,4,6,9,130476
Trading,Healthcare,95995,28759,67236,8732,Both,11,188,86,48,Urban,4,13,3,5.73,0.35,1800,81,80,421968,15,13,854759,6,5,Angel,B2B,8,4,2,81748
Services,IT,46580,82684,-36104,27665,Offline,12,133,52,10,Rural,3,3,8,1.4,0.84,1410,85,50,348710,13,33,341204,4,3,Bootstrapped,Hybrid,7,2,8,-27722
Manufacturing,Textile,177916,136683,41233,17889,Online,14,129,51,184,Rural,1,10,8,7.58,0.74,579,94,74,362006,14,45,456620,5,5,Bootstrapped,B2C,7,1,1,46754
Manufacturing,Education,93426,62390,31036,10647,Offline,4,36,56,151,Urban,2,5,5,3.61,0.62,700,93,91,461455,12,49,150304,5,1,Angel,B2B,3,6,9,46239
Services,IT,79619,64854,14765,29089,Offline,8,98,74,198,Urban,2,2,9,6.55,0.47,1196,79,87,151969,5,13,451252,8,5,Bank Loan,Hybrid,7,8,1,19520
Services,Education,185175,110738,74437,28144,Offline,8,163,79,11,Rural,4,1,1,6.28,0.54,558,63,85,488279,4,48,584100,2,9,Bank Loan,B2B,7,1,4,93916
Trading,Education,175432,67727,107705,15794,Offline,13,51,64,104,Urban,5,7,6,1.98,0.73,975,69,78,203096,13,28,976244,8,5,Bootstrapped,Hybrid,2,4,9,106360
Services,FMCG,51400,109669,-58269,3796,Both,5,181,72,46,Urban,3,5,1,5.1,0.62,1043,70,64,72623,11,30,231671,7,1,Bootstrapped,B2C,3,8,3,-56480
Services,Healthcare,187925,45825,142100,6049,Online,14,119,68,97,Urban,2,2,8,5.87,0.47,1324,82,78,92054,5,41,416687,8,3,Bootstrapped,Hybrid,8,5,3,142069
Trading,Construction,142835,145798,-2963,16153,Offline,3,143,63,188,Rural,5,11,3,7.96,0.56,181,69,87,493790,2,7,999452,8,7,Bootstrapped,Hybrid,3,6,8,-7478
Services,Textile,142523,97502,45021,13754,Online,13,174,80,22,Rural,3,8,2,6.66,0.67,1605,68,81,216370,3,22,923277,9,1,Bank Loan,Hybrid,4,4,2,45112
Manufacturing,Construction,62718,36760,25958,22377,Offline,6,187,61,180,Urban,3,13,5,1.5,0.4,1521,89,84,352638,17,4,532312,7,4,VC,B2B,7,6,2,30076
Trading,Food,79161,110869,-31708,7266,Both,11,88,73,150,Urban,6,8,5,4.92,0.42,1353,89,73,257653,9,38,978975,3,3,Bank Loan,B2B,9,9,3,-21386
Services,Food,61172,40232,20940,16113,Offline,10,150,83,111,Rural,9,4,3,6.56,0.52,1424,74,51,88742,13,7,395894,3,2,Bank Loan,B2C,5,7,2,36068
Trading,IT,57720,102019,-44299,13835,Offline,11,33,54,174,Urban,4,12,5,2.82,0.47,1656,87,83,307908,8,47,928878,5,3,Angel,Hybrid,5,1,2,-29004
Trading,Education,30400,88151,-57751,18078,Offline,6,107,64,93,Rural,4,7,4,4.07,0.75,1257,64,94,374134,11,48,762453,6,6,VC,Hybrid,3,6,9,-44767
Manufacturing,Textile,75121,68330,6791,13741,Online,3,119,76,22,Urban,9,5,3,7.94,0.8,1416,81,82,143868,15,39,606986,8,6,VC,Hybrid,4,1,9,22126
Manufacturing,Healthcare,121444,17075,104369,12786,Online,10,164,78,183,Urban,8,14,9,2.77,0.71,1902,81,86,219436,13,33,23113,6,5,Bootstrapped,Hybrid,3,3,5,117273
Trading,IT,88266,110404,-22138,21559,Both,5,57,54,59,Rural,6,1,4,3.72,0.52,1145,91,76,127881,6,32,407882,4,7,VC,Hybrid,5,1,9,-17110
Services,FMCG,168030,126504,41526,16430,Both,2,104,92,26,Rural,3,6,3,5.17,0.81,398,78,89,55214,5,24,776315,6,8,Bank Loan,B2C,6,7,8,59814
Services,Construction,122932,113631,9301,29789,Online,7,162,63,16,Rural,4,9,3,1.62,0.53,1294,89,64,130815,3,34,394806,8,7,VC,B2C,7,5,7,25106
Trading,Construction,40777,93173,-52396,12366,Offline,1,95,59,157,Urban,4,14,4,7.37,0.76,1042,76,69,198733,17,18,729348,9,9,VC,B2B,1,6,9,-34021
Trading,Textile,55834,122505,-66671,5778,Online,5,63,92,129,Urban,3,7,1,5.02,0.66,1997,90,96,464340,2,38,774948,6,5,Bank Loan,B2B,1,2,7,-64990
Manufacturing,Education,175626,145449,30177,24112,Online,10,41,72,26,Rural,4,11,7,1.38,0.55,1575,91,70,230142,11,3,955017,9,6,Angel,B2B,3,2,9,33762
Trading,Food,74166,142703,-68537,15540,Offline,7,100,91,32,Rural,6,4,7,7.06,0.7,1506,85,89,317522,1,14,838849,6,7,Bank Loan,B2C,2,8,6,-57594
Trading,Food,121572,16685,104887,2880,Online,3,171,71,144,Urban,2,13,6,7.05,0.34,751,96,72,474869,13,4,372077,9,3,Angel,B2B,2,9,5,115230
Manufacturing,Education,102608,88872,13736,17048,Offline,4,81,76,133,Rural,4,11,8,1.03,0.46,480,87,76,418326,18,46,31985,9,6,Angel,B2B,9,5,1,24665
Services,Healthcare,123474,108786,14688,12482,Online,13,180,93,66,Rural,5,6,7,2.44,0.59,1596,61,90,351564,18,17,307421,1,7,Bank Loan,B2C,6,4,4,34314
Manufacturing,Textile,164133,129022,35111,29270,Both,13,34,91,37,Rural,6,3,8,3.72,0.35,127,93,66,207783,14,43,63951,9,4,Bank Loan,B2C,8,8,1,46736
Trading,FMCG,198996,148443,50553,29851,Online,11,196,74,93,Rural,2,10,7,7.29,0.71,1687,77,61,208442,15,38,670745,7,2,Bank Loan,B2C,5,6,6,54889
Services,Healthcare,122337,107413,14924,9825,Both,3,116,83,110,Rural,9,8,5,3.32,0.51,1661,98,54,166549,9,33,860439,2,6,Angel,B2C,1,8,1,23813
Trading,FMCG,30814,138793,-107979,18497,Offline,14,105,76,176,Rural,7,10,5,4.09,0.4,835,63,71,466880,1,14,428119,6,9,Bank Loan,B2B,1,7,1,-88378
Trading,Textile,187371,116686,70685,11436,Offline,8,18,62,126,Rural,8,10,5,5.52,0.61,192,89,76,102742,13,8,56690,6,6,Bank Loan,B2B,5,2,7,84235
Services,Healthcare,179908,132617,47291,6541,Online,4,160,60,154,Urban,8,5,8,1.94,0.52,1000,94,62,286914,13,10,24750,7,6,VC,B2C,4,5,8,42783
Manufacturing,Healthcare,104655,132456,-27801,8449,Online,3,47,86,118,Rural,8,5,5,4.27,0.63,956,74,93,51562,13,7,62774,3,1,Bootstrapped,B2C,2,4,9,-19298
Services,Healthcare,139040,84772,54268,29749,Offline,2,86,56,46,Rural,6,14,4,4.97,0.73,1323,86,82,343625,6,2,919832,7,1,Angel,Hybrid,2,5,3,61063
Manufacturing,FMCG,173732,115549,58183,10583,Offline,5,32,64,69,Urban,8,10,8,2.31,0.41,662,94,80,482826,7,4,976673,5,1,Angel,B2C,4,4,3,58511
Trading,IT,125043,28031,97012,25214,Offline,8,174,50,193,Urban,9,4,8,4.87,0.8,485,88,90,52901,9,12,528391,4,7,Bank Loan,B2C,3,1,4,98518
Services,Textile,192787,111700,81087,11460,Offline,5,18,93,27,Rural,1,1,1,3.98,0.84,1884,69,93,410795,5,46,451526,5,1,VC,Hybrid,9,4,5,93951
Services,Education,38942,41547,-2605,9192,Offline,1,167,52,117,Rural,8,8,7,3.24,0.72,1368,73,73,458061,6,34,326596,8,1,Angel,Hybrid,1,3,1,14544
Services,Food,125389,137381,-11992,6844,Both,5,80,84,41,Rural,2,1,2,3.37,0.49,445,64,65,451515,16,12,386327,3,5,Bootstrapped,B2B,7,2,3,-3323
Services,Food,87426,137634,-50208,13210,Both,1,65,79,103,Rural,1,12,7,5.59,0.83,717,92,87,155822,5,22,106785,2,4,Bank Loan,B2C,2,4,5,-45760
Trading,Education,84751,113331,-28580,10268,Offline,3,150,82,46,Rural,4,9,1,4.22,0.65,1199,74,69,471594,2,16,249202,9,2,Angel,Hybrid,8,1,4,-19006
Trading,Food,100876,30913,69963,25954,Online,3,50,90,92,Rural,9,4,1,3.07,0.45,1916,98,71,442097,12,47,239286,5,5,Angel,Hybrid,4,1,7,80452
Manufacturing,Construction,78786,120012,-41226,27516,Both,8,6,69,178,Urban,2,8,9,4.34,0.8,1688,63,91,435273,8,44,236532,5,1,VC,B2C,5,1,4,-36630
Services,FMCG,70726,72994,-2268,28586,Both,2,147,83,147,Urban,8,4,2,2.28,0.65,629,67,80,327099,18,14,21492,3,8,Bootstrapped,B2C,1,9,6,5639
Manufacturing,Healthcare,169040,63940,105100,4695,Online,3,174,64,72,Urban,7,2,1,3.7,0.6,1377,78,51,439525,8,44,900008,3,5,Bootstrapped,B2C,5,8,1,100459
Services,Education,39394,57165,-17771,24462,Online,5,78,62,28,Rural,4,14,1,3.95,0.31,1992,87,69,481768,11,28,700424,5,7,Bank Loan,B2C,3,1,1,-6846
Services,Education,77474,75343,2131,27735,Offline,7,174,80,17,Rural,1,5,3,4.72,0.36,100,69,87,115317,14,9,783784,2,5,VC,Hybrid,5,8,9,14720
Services,Construction,135028,109687,25341,6038,Online,3,147,83,183,Urban,2,9,6,1.49,0.57,1150,88,96,213109,17,9,726348,5,7,Angel,B2C,4,2,8,20986
Services,Construction,134621,123490,11131,13171,Offline,8,50,73,58,Rural,2,12,3,4.85,0.75,1037,84,90,114911,1,33,880831,9,8,Bank Loan,B2C,8,3,8,6175
Manufacturing,Education,90305,119113,-28808,13990,Online,12,56,67,105,Rural,5,8,7,1.06,0.31,957,86,93,390158,13,18,870558,6,3,Bank Loan,B2B,6,7,1,-30781
Trading,Education,71911,126677,-54766,16198,Offline,3,186,90,87,Rural,2,9,3,4.67,0.33,1521,78,94,376406,3,2,648524,7,6,Bootstrapped,B2B,3,1,8,-48760
Manufacturing,IT,164140,28025,136115,15011,Online,14,199,68,184,Rural,3,10,8,3.98,0.53,812,98,91,166054,8,14,608953,1,6,Angel,B2C,3,2,3,154911
Manufacturing,Food,54851,31793,23058,20558,Online,4,28,55,80,Urban,4,12,7,3.67,0.55,1372,93,84,161219,7,24,288656,4,2,VC,Hybrid,6,2,4,34147
Manufacturing,Healthcare,65764,145452,-79688,13073,Both,10,145,80,55,Urban,8,8,1,7.89,0.5,1090,83,92,465257,7,23,382191,1,9,Angel,Hybrid,6,3,9,-80773
Services,Food,62594,112816,-50222,10804,Both,1,127,59,155,Urban,2,13,1,5.46,0.61,178,63,62,119809,6,6,614214,1,6,Bootstrapped,B2B,2,5,4,-37193
Services,Textile,65836,148979,-83143,12296,Online,9,30,82,64,Urban,7,5,8,4.79,0.6,688,86,51,369164,16,30,738723,7,9,Angel,Hybrid,4,2,4,-63433
Services,Construction,23055,55138,-32083,2219,Both,14,144,89,54,Urban,2,8,2,7.45,0.41,1674,65,50,212280,12,40,410637,1,4,Bank Loan,B2B,4,6,3,-29082
Trading,Food,141340,144713,-3373,16508,Offline,4,178,57,148,Rural,8,1,9,4.45,0.71,1409,71,61,82115,7,3,97254,2,3,Angel,B2C,5,1,8,-5379
Services,Education,38069,28133,9936,13087,Online,3,43,78,47,Rural,9,2,6,4.6,0.65,1484,84,57,126398,8,28,137615,5,3,VC,Hybrid,5,7,8,16853
Services,Construction,126863,142127,-15264,7158,Both,4,88,62,66,Rural,7,12,5,2.04,0.3,1200,97,94,389853,4,42,685204,1,8,VC,B2B,8,7,7,-3143
Services,Textile,191268,147039,44229,5050,Both,5,46,91,34,Rural,8,9,8,3.53,0.66,480,81,67,191776,1,13,494438,8,1,VC,B2C,1,7,5,43963
Services,Education,195228,128150,67078,27371,Offline,7,174,82,55,Urban,7,5,1,5.38,0.31,1846,78,53,318294,16,40,105050,8,9,Angel,Hybrid,5,8,1,83188
Trading,Healthcare,132878,76985,55893,7895,Offline,9,176,88,161,Rural,2,8,3,4.94,0.51,1242,98,65,252773,17,26,177410,4,2,VC,Hybrid,5,6,6,68132
Trading,IT,142074,134273,7801,12818,Both,7,120,88,86,Rural,4,3,4,7.76,0.54,1411,73,85,424434,6,48,245835,5,6,Bootstrapped,B2B,7,4,9,26548
Services,Healthcare,33488,78084,-44596,16706,Offline,2,78,55,14,Urban,7,9,7,3.46,0.62,1922,78,85,131451,18,36,810426,9,9,Angel,Hybrid,8,2,9,-31339
Trading,Textile,49876,82383,-32507,5873,Online,1,8,69,160,Rural,2,4,1,3.78,0.76,214,87,73,367964,1,13,220336,9,5,Bootstrapped,B2C,4,4,8,-25118
Trading,Education,163544,137686,25858,7713,Online,10,27,51,66,Urban,6,11,5,4.31,0.45,652,96,70,56535,14,10,442523,9,5,Angel,Hybrid,2,6,4,41185
Manufacturing,FMCG,54968,22229,32739,29605,Both,2,23,55,157,Urban,1,9,6,2.15,0.89,844,96,53,160276,12,34,836418,9,8,Angel,B2C,4,1,3,50295
Trading,Healthcare,107085,95700,11385,8629,Offline,11,31,77,98,Rural,8,2,7,7.68,0.63,919,75,81,493714,1,35,806140,8,6,VC,B2B,4,9,7,17841
Trading,Construction,165950,67549,98401,19736,Offline,3,130,67,35,Urban,7,7,3,2.6,0.34,1163,78,57,87646,19,5,962162,5,8,Bank Loan,B2B,5,7,4,96165
Trading,Textile,169307,117521,51786,22373,Both,12,73,57,17,Urban,1,11,8,2.51,0.88,983,69,89,176220,5,44,320326,8,3,VC,Hybrid,7,7,9,53107
Trading,Education,188850,125645,63205,21261,Both,9,84,61,141,Rural,5,13,5,1.33,0.61,1475,84,84,64411,6,32,281354,9,4,Angel,B2B,9,6,4,71539
Services,Construction,57966,51661,6305,11891,Offline,10,105,90,20,Urban,7,5,5,1.14,0.56,1710,67,68,418095,14,38,629690,5,2,Bank Loan,Hybrid,1,3,4,19864
Manufacturing,Education,92022,49940,42082,24504,Offline,4,23,68,51,Urban,1,6,4,1.18,0.7,1965,90,84,390989,8,48,120957,3,5,Bootstrapped,B2B,1,7,4,39433
Trading,FMCG,111368,79151,32217,18230,Both,10,160,53,185,Rural,3,8,6,5.01,0.52,883,61,57,93686,5,31,438039,3,4,Bank Loan,Hybrid,3,3,8,40623
Manufacturing,Healthcare,170277,50430,119847,25694,Both,14,179,57,113,Rural,4,8,6,1.19,0.42,1520,74,75,341467,19,10,613234,4,3,Bootstrapped,B2B,5,4,9,128207
Services,Construction,57969,70977,-13008,23720,Online,2,26,73,44,Rural,6,11,2,3.55,0.76,722,85,56,323097,15,32,63056,1,4,Bank Loan,B2B,5,1,3,6943
Services,Textile,35665,58797,-23132,21708,Offline,2,40,54,12,Rural,1,1,1,6.86,0.87,1156,80,50,344568,6,29,698587,4,7,Bootstrapped,Hybrid,1,1,5,-14983
Manufacturing,Healthcare,43414,43776,-362,29961,Both,8,95,81,10,Urban,3,1,1,4.5,0.87,527,65,66,224091,2,37,894838,2,4,Bank Loan,B2B,4,8,7,-4090
Manufacturing,Textile,36694,126672,-89978,13839,Online,3,94,90,59,Urban,3,12,9,7.75,0.79,1050,93,77,441705,3,2,485203,8,5,Bootstrapped,Hybrid,5,2,4,-76240
Manufacturing,Textile,36003,21810,14193,28028,Both,14,91,78,130,Rural,9,5,1,7.72,0.87,1113,90,91,412759,3,36,24181,4,4,Bootstrapped,B2C,4,2,7,18735
Trading,FMCG,164068,69541,94527,6724,Offline,1,6,54,54,Rural,7,13,2,6.48,0.55,252,81,68,282637,13,39,281743,9,1,VC,B2B,1,8,7,93053
Manufacturing,Construction,154203,26415,127788,14728,Online,3,177,54,150,Urban,7,10,8,4.88,0.72,192,81,54,498468,12,29,192986,6,3,Bank Loan,B2C,5,1,8,146408
Manufacturing,Healthcare,48051,138556,-90505,27468,Offline,10,148,54,137,Urban,4,8,6,1.56,0.65,502,74,87,98794,10,18,162521,4,8,VC,Hybrid,5,3,2,-75819
Manufacturing,Construction,87610,24525,63085,11667,Offline,7,12,64,38,Rural,7,9,4,7.95,0.38,594,69,90,63103,6,26,908919,9,7,Bootstrapped,B2C,3,5,3,63104
Services,Food,179644,148676,30968,29670,Online,12,84,86,69,Rural,5,11,8,1.33,0.48,1139,92,74,280421,3,4,519386,4,5,Bank Loan,B2B,9,6,5,43474
Services,Construction,152831,48372,104459,28069,Online,9,142,63,112,Urban,4,5,7,5.48,0.42,1436,74,66,354509,16,42,687524,4,9,Bootstrapped,B2C,2,2,8,113352
Services,Food,140943,27181,113762,17044,Both,8,52,55,175,Rural,7,2,9,3.39,0.83,194,75,71,358338,12,47,633658,1,9,VC,B2C,9,4,2,122436
Services,Textile,181851,114590,67261,3961,Online,12,153,51,150,Rural,5,6,6,3.61,0.9,498,74,96,256787,9,45,139517,1,1,Angel,Hybrid,8,5,9,64698
Services,Textile,25141,132280,-107139,13964,Both,6,127,68,92,Urban,7,12,9,7.51,0.49,214,66,63,385560,5,10,109716,6,9,Bank Loan,Hybrid,4,3,4,-91138
Services,Construction,62651,64994,-2343,15810,Both,1,157,90,23,Urban,5,11,4,5.01,0.84,170,77,68,344865,15,12,393115,3,4,Bank Loan,B2C,5,2,7,-4190
Services,Construction,185163,73275,111888,3437,Both,1,88,58,134,Rural,5,2,6,1.25,0.84,1565,62,96,477867,11,11,981859,5,3,Bootstrapped,Hybrid,4,7,6,124738
Manufacturing,IT,152177,108110,44067,4651,Online,12,19,84,154,Rural,6,11,4,1.51,0.68,313,83,68,289656,19,48,292984,2,8,Angel,B2B,6,9,5,55495
Services,Food,26013,95643,-69630,25113,Offline,9,101,51,134,Rural,3,8,9,2.71,0.83,1611,78,60,441397,14,32,159504,7,5,Angel,B2C,4,8,8,-65999
Services,Education,144921,128653,16268,8519,Online,10,39,64,152,Rural,8,5,5,2.59,0.32,1404,94,57,310528,17,29,155349,6,7,VC,B2B,1,3,4,24166
Manufacturing,Construction,166382,94443,71939,17222,Online,9,94,59,69,Rural,5,14,9,1.48,0.42,1990,74,80,306613,19,19,873613,7,3,Bootstrapped,B2C,5,9,4,76228
Manufacturing,Food,40565,74810,-34245,7387,Offline,1,156,75,125,Urban,6,2,4,4.39,0.52,773,91,97,334957,3,17,948671,9,6,Bank Loan,Hybrid,3,2,8,-24627
Trading,FMCG,142910,15449,127461,5863,Online,9,65,61,125,Urban,3,14,2,6.21,0.7,1461,94,66,327167,13,24,665061,1,9,Bootstrapped,Hybrid,6,5,1,145616
Services,Textile,31246,135094,-103848,7382,Online,11,154,53,54,Rural,5,3,9,4.08,0.33,826,83,97,475603,17,49,581607,1,5,VC,Hybrid,2,8,5,-106743
Trading,Construction,143141,51598,91543,11251,Both,5,157,57,125,Rural,4,14,8,3.35,0.68,1342,96,93,447954,17,29,432354,6,6,VC,B2C,7,3,9,92748
Services,Education,183496,124681,58815,6010,Both,2,54,55,65,Urban,1,13,8,2.75,0.7,613,92,94,332166,19,36,20014,1,1,Bank Loan,Hybrid,2,3,4,75475
Manufacturing,FMCG,54676,135494,-80818,27830,Offline,8,67,94,60,Urban,6,10,8,1.38,0.54,1307,60,51,237562,3,2,37843,3,8,Angel,Hybrid,7,1,9,-73529
Services,FMCG,56154,33899,22255,23429,Both,3,34,55,36,Rural,5,10,4,1.82,0.67,506,62,99,206878,12,26,675935,5,1,Angel,B2C,9,2,2,23250
Trading,FMCG,84085,75388,8697,2959,Offline,5,55,61,145,Rural,3,6,5,5.11,0.48,1865,68,96,106442,2,44,298793,6,5,Bank Loan,Hybrid,9,2,8,14815
Manufacturing,Food,46486,56250,-9764,21751,Online,2,70,61,124,Rural,8,11,9,6.56,0.38,1411,79,96,195490,15,31,792962,9,4,VC,Hybrid,2,4,3,-13417
Manufacturing,Healthcare,137917,59782,78135,21011,Offline,2,63,80,179,Urban,1,1,1,1.59,0.63,870,82,89,455674,6,31,361742,7,9,VC,B2B,1,2,1,95475
Manufacturing,Textile,45608,101833,-56225,28728,Both,13,119,91,183,Rural,8,10,1,6.59,0.32,181,60,90,138435,16,20,867954,1,8,VC,Hybrid,4,1,5,-45429
